Bowler,Total Matches Bowled,Balls Bowled,Runs Conceded,Bowling Economy,Bowling Strike Rate,Bowling Average,Dot Ball %,Wickets Taken
David Wiese,1,18,38,12.666666666666668,0,0,50.0,0
Vaibhav Arora,5,107,126,7.065420560747663,21.4,25.2,71.02803738317756,5
Kuldip Yadav,2,42,68,9.714285714285715,21.0,34.0,59.523809523809526,2
Gurnoor Brar,1,21,38,10.857142857142858,0,0,57.14285714285714,0
Ayush Badoni,1,1,0,0.0,0,0,100.0,0
Harshit Rana,6,108,140,7.777777777777778,18.0,23.333333333333332,67.5925925925926,6
Akeal Hosein,1,24,40,10.0,24.0,40.0,58.333333333333336,1
Abhishek Sharma,5,75,121,9.68,37.5,60.5,60.0,2
Josh Hazlewood,3,57,71,7.473684210526317,19.0,23.666666666666668,70.17543859649122,3
Mahipal Lomror,2,12,16,8.0,12.0,16.0,66.66666666666666,1
Akash Madhwal,8,160,204,7.6499999999999995,10.0,12.75,68.125,16
Kartik Tyagi,3,44,78,10.636363636363637,44.0,78.0,56.81818181818182,1
Raghav Goyal,1,24,33,8.25,0,0,66.66666666666666,0
Tristan Stubbs,1,12,14,7.0,12.0,14.0,75.0,1
Mohsin Khan,4,64,103,9.65625,21.333333333333332,34.333333333333336,60.9375,3
Swapnil Singh,2,12,18,9.0,0,0,66.66666666666666,0
Vivrant Sharma,2,21,28,8.0,0,0,66.66666666666666,0
Obed McCoy,1,7,12,10.285714285714285,0,0,57.14285714285714,0
Chris Jordan,6,140,228,9.771428571428572,46.666666666666664,76.0,59.285714285714285,3
Joe Root,1,12,14,7.0,0,0,75.0,0
Glenn Phillips,2,18,20,6.666666666666667,18.0,20.0,72.22222222222221,1
Praveen Dubey,1,19,18,5.684210526315789,19.0,18.0,78.94736842105263,1
Nitish Kumar Reddy,2,31,53,10.258064516129032,0,0,58.06451612903226,0
Himanshu Sharma,1,18,28,9.333333333333334,0,0,61.111111111111114,0
Darshan Nalkande,1,25,43,10.32,25.0,43.0,60.0,1
